Dear Farmer,

"Drying up" is a symptom, not a disease itself, and can be caused by various factors including diseases, pests, or environmental stresses. To effectively address the issue, it is crucial to accurately diagnose the underlying cause. We recommend bringing a sample of the affected plants to your nearest Krishi Vigyan Kendra (KVK) or Haryana Agricultural University (HAU) for precise identification.

For Barseem, "drying branches" typically refers to drying stems or shoots, and "drying fruits" is not a primary concern as Barseem is harvested for fodder before significant fruit development. The focus will be on drying leaves, stems, and flowers.

Here are the potential causes and recommended management strategies:

**I. Potential Causes for Drying Up in Barseem:**

1.  **Fungal Diseases:**
    *   **Root Rot/Wilt Complex:** Caused by pathogens like *Fusarium* spp., *Rhizoctonia solani*, or *Sclerotinia trifoliorum*. These are common and lead to yellowing, wilting, and eventual drying of the entire plant or patches.
    *   **Stem Rot (*Sclerotinia trifoliorum*):** Causes rotting at the base of the stem, leading to wilting and drying of shoots.
    *   **Anthracnose (*Colletotrichum trifolii*):** Can cause lesions on leaves and stems, leading to drying of affected parts.

2.  **Pest Infestations:**
    *   **Severe Aphid Infestation:** Heavy feeding by aphids can lead to wilting, yellowing, and drying of leaves and shoots due to sap depletion.
    *   **Mites:** Can cause bronzing, stippling, and eventual drying of leaves.

3.  **Environmental/Physiological Stress:**
    *   **Water Stress:** Both insufficient water (drought) and excessive water (waterlogging) can damage roots and lead to wilting and drying of plants.
    *   **Nutrient Deficiencies:** Severe deficiencies, particularly of Potassium, can cause marginal leaf scorch and drying.
    *   **Soil Salinity/Alkalinity:** High salt levels in the soil can impair water uptake, leading to wilting and drying.

**II. Management Strategies:**

**A. Cultural and Agronomic Practices (First Line of Defense):**

*   **Proper Water Management:** Ensure optimal soil moisture. Barseem requires consistent moisture, so avoid both prolonged drought and waterlogging. Implement efficient irrigation practices.
*   **Improve Drainage:** If waterlogging is an issue, improve soil drainage to prevent water stagnation, which favors root rot pathogens.
*   **Balanced Nutrition:** Conduct soil testing to determine nutrient status and apply fertilizers as per recommendations. Ensure adequate potassium supply.
*   **Crop Rotation:** Rotate Barseem with non-leguminous crops (e.g., cereals) to break the disease cycle and reduce pathogen build-up in the soil.
*   **Use Certified Seeds:** Always use healthy, certified seeds from a reliable source.
*   **Field Sanitation:** Remove and destroy any infected plant debris or severely affected plants to prevent the spread of diseases.

**B. Chemical Management (If diagnosis confirms specific disease/pest):**

**1. For Fungal Diseases (Root Rot, Wilt, Stem Rot):**

*   **Seed Treatment (Preventive):**
    *   Treat Barseem seeds before sowing with a recommended fungicide.
    *   **Carbendazim 12% + Mancozeb 63% WP** at 2.5-3 g per kg of seed.
    *   **Thiram 75% WS** at 2.5 g per kg of seed.
*   **Soil Drenching (Curative, for established plants):**
    *   If symptoms appear in patches, drench the affected area around the base of the plants.
    *   **Carbendazim 50% WP** at 1-1.5 g per litre of water.
    *   **Propiconazole 25% EC** at 1 ml per litre of water.

**2. For Pest Infestations (Aphids, Mites - if identified as the primary cause):**

*   **For Aphids:**
    *   **Imidacloprid 17.8% SL** at 0.5 ml per litre of water (or 125 ml per acre in 250-300 litres of water).
    *   **Thiamethoxam 25% WG** at 0.2 g per litre of water (or 80 g per acre in 250-300 litres of water).
*   **For Mites:**
    *   **Spiromesifen 22.9% SC** at 0.5 ml per litre of water (or 200 ml per acre in 250-300 litres of water).

**Important Considerations:**

*   **Accurate Diagnosis:** Always confirm the specific cause of drying up before applying any chemical treatment. Incorrect application can be ineffective and harmful.
*   **Pre-Harvest Interval (PHI):** For fodder crops like Barseem, it is critical to strictly observe the pre-harvest interval (PHI) of any applied chemical to ensure the fodder is safe for livestock consumption. Many systemic insecticides have specific PHIs. Prioritize cultural and preventive measures.
*   **Follow Label Instructions:** Always read and strictly follow the instructions, dosage, and safety precautions mentioned on the chemical product label.
*   **Safety:** Use appropriate personal protective equipment (PPE) during handling and application of chemicals.

For further assistance and precise diagnosis, please contact the plant pathology or entomology department at HAU, Hisar, or your local KVK.
