Namaste, Kisan Bhaiyon,

As a Senior Agronomist at Haryana Agricultural University (HAU, Hisar), I understand your concern regarding viral diseases in Chillies. It is crucial to remember that once a plant is infected with a virus, there is no direct chemical cure. Therefore, control strategies primarily focus on prevention, managing the insect vectors that transmit these viruses, and adopting sound cultural practices.

Let's address the specific conditions you've mentioned:

### Chilli Leaf Curl, Mosaic, Yellow Vein Clearing, and Stunt Virus (as a symptom)

These are common viral diseases in Chillies in Haryana, often caused by different viruses (e.g., Chilli Leaf Curl Virus - ChiLCV, Cucumber Mosaic Virus - CMV, Tobacco Mosaic Virus - TMV, Potato Virus Y - PVY). They are primarily transmitted by insect vectors like whiteflies, aphids, and thrips. "Stunt" is often a symptom of severe viral infection rather than a specific virus itself in Chillies.

**Control Measures:**

1.  **Use Resistant/Tolerant Varieties:**
    *   Always select chilli varieties known to be resistant or tolerant to common viral diseases prevalent in your region. Consult HAU recommendations for suitable varieties.

2.  **Nursery Management:**
    *   Raise seedlings in insect-proof net houses (40-50 mesh) to prevent early infection by vectors.
    *   Before transplanting, treat nursery beds or drench seedlings with systemic insecticides.
        *   **Imidacloprid** (17.8% SL) @ 1.0 ml/L water (drenching).
        *   **Thiamethoxam** (25% WG) @ 0.4 g/L water (drenching).

3.  **Vector Control (Crucial for preventing spread):**
    *   **For Whiteflies (primary vector for Leaf Curl and Yellow Vein Clearing):**
        *   Spray with **Imidacloprid** (17.8% SL) @ 0.5 ml/L water.
        *   Spray with **Thiamethoxam** (25% WG) @ 0.2 g/L water.
        *   Spray with **Buprofezin** (25% SC) @ 1.25 ml/L water.
        *   Spray with **Spiromesifen** (22.9% SC) @ 0.6 ml/L water.
        *   Spray with **Flonicamid** (50% WG) @ 0.3 g/L water.
    *   **For Aphids (primary vector for Mosaic viruses):**
        *   Spray with **Imidacloprid** (17.8% SL) @ 0.5 ml/L water.
        *   Spray with **Thiamethoxam** (25% WG) @ 0.2 g/L water.
        *   Spray with **Acetamiprid** (20% SP) @ 0.2 g/L water.
        *   Spray with **Flonicamid** (50% WG) @ 0.3 g/L water.
        *   Spray with **Pymetrozine** (50% WG) @ 0.4 g/L water.
    *   **For Thrips (can transmit some viruses like TSWV):**
        *   Spray with **Imidacloprid** (17.8% SL) @ 0.5 ml/L water.
        *   Spray with **Thiamethoxam** (25% WG) @ 0.2 g/L water.
        *   Spray with **Fipronil** (5% SC) @ 1.5-2.0 ml/L water.
        *   Spray with **Spinosad** (45% SC) @ 0.25 ml/L water.
    *   Rotate insecticides with different modes of action to prevent resistance development.

4.  **Cultural Practices:**
    *   **Rogueing:** Regularly inspect your field and immediately remove and destroy (bury deep or burn) any plants showing viral symptoms. This prevents the virus from spreading to healthy plants.
    *   **Weed Management:** Keep the chilli field and surrounding areas completely free of weeds, as many weeds can act as alternate hosts for viruses and their insect vectors.
    *   **Crop Rotation:** Avoid planting chillies or other solanaceous crops (like tomato, brinjal, potato) continuously in the same field.
    *   **Border Crops:** Plant non-host barrier crops like maize, sorghum, or pearl millet around your chilli field to act as a physical barrier and deter insect vectors.
    *   **Mulching:** Use silver-colored plastic mulch in the field. It helps repel insect vectors and reduces virus incidence.
    *   **Sanitation:** Clean all farm tools and equipment regularly to prevent mechanical transmission of viruses.

### Stripe Virus

This is not known to affect Chillies as a distinct, major viral disease. "Stripe" viruses are primarily associated with cereal crops (e.g., Maize Stripe Virus, Wheat Streak Mosaic Virus).

### Tristeza Virus

This is not known to affect Chillies. Citrus Tristeza Virus (CTV) is a significant disease of citrus trees.

For any further specific guidance or identification of diseases, please contact your nearest Krishi Vigyan Kendra (KVK) or the Department of Plant Pathology at HAU, Hisar.
