नमस्ते! जीरे की फसल में खरपतवार नियंत्रण एक महत्वपूर्ण कार्य है, खासकर हरियाणा जैसे क्षेत्रों में जहाँ विभिन्न प्रकार के खरपतवार फसल को काफी नुकसान पहुँचा सकते हैं। एक वरिष्ठ कृषि वैज्ञानिक के रूप में, मैं आपको वैज्ञानिक रूप से सत्यापित और CIBRC (Central Insecticides Board and Registration Committee) द्वारा अनुमोदित रसायनों का उपयोग करते हुए एकीकृत खरपतवार प्रबंधन (Integrated Weed Management - IWM) की सलाह देता हूँ।

एकीकृत खरपतवार प्रबंधन में सांस्कृतिक, यांत्रिक और रासायनिक विधियों का संयोजन शामिल है।

**I. सांस्कृतिक एवं यांत्रिक विधियाँ:**

1.  **स्वच्छ बीज का उपयोग:** बुवाई के लिए हमेशा प्रमाणित और खरपतवार मुक्त जीरे के बीज का उपयोग करें।
2.  **खेत की तैयारी:** बुवाई से पहले खेत की अच्छी तरह से जुताई करें ताकि खरपतवारों के बीज सतह पर आ जाएँ और सूख जाएँ।
3.  **हाथ से निराई:** जीरे की फसल में 20-25 और 40-45 दिनों पर दो बार हाथ से निराई करना बहुत प्रभावी होता है, खासकर अमरबेल और ओरोबैंकी (Orobanche) जैसे परजीवी खरपतवारों के लिए।
4.  **कतार में बुवाई:** कतार में बुवाई करने से निराई-गुड़ाई और खरपतवारनाशी का छिड़काव आसान हो जाता है।
5.  **स्वच्छ उपकरण:** खेत में उपयोग होने वाले कृषि यंत्रों को साफ रखें ताकि खरपतवारों के बीज एक खेत से दूसरे खेत में न फैलें।

**II. रासायनिक खरपतवार नियंत्रण (CIBRC अनुमोदित तकनीकी रसायन):**

रासायनिक नियंत्रण के लिए, खरपतवारनाशी का चुनाव खरपतवार के प्रकार और फसल की अवस्था पर निर्भर करता है।

**A. बुवाई के तुरंत बाद (Pre-emergence) - 3 दिनों के भीतर:**
ये खरपतवारनाशी खरपतवारों को उगने से पहले ही नियंत्रित करते हैं। छिड़काव के समय खेत में पर्याप्त नमी होनी चाहिए।

*   **चौड़ी पत्ती वाले खरपतवार (जैसे बथुआ, कांग्रेस घास) और संकरी पत्ती वाले खरपतवार (जैसे फालारिस माइनर) के लिए:**
    *   **पेंडिमेथालिन** 30% EC: 1.0 - 1.3 किलोग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 3.3 - 4.3 लीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर समान रूप से छिड़काव करें। यह अमरबेल के अंकुरण को भी कुछ हद तक रोकता है।
    *   **ऑक्सीडाईअर्जिल** 80% WP: 80 - 100 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 100 - 125 ग्राम उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें।
    *   **ऑक्सीफ्लोरफेन** 23.5% EC: 100 - 150 ग्राम सक्रिय तत्व (a.i.) प्रति एकड़ (लगभग 425 - 640 मिलीलीटर उत्पाद) को 200-300 लीटर पानी में मिलाकर छिड़काव करें।

**B. फसल उगने के बाद (Post-emergence) - खरपतवारों की 2-4 पत्ती अवस्था पर (आमतौर पर बुवाई के 20-35 दिन बाद):**
